position,club,points,P,W,D,L,F,A,YC,RD
1,Hamburger,52,34,20,12,2,79,33,34,0
2,Werder Bremen,52,34,23,6,5,76,38,28,0
3,Stuttgart,48,34,20,8,6,80,47,43,1
4,Bayern München,44,34,17,10,7,74,33,33,2
5,Köln,43,34,17,9,8,69,42,26,0
6,Kaiserslautern,41,34,14,13,7,57,44,26,1
7,Borussia Dortmund,39,34,16,7,11,78,62,27,1
8,Arminia Bielefeld,31,34,12,7,15,46,71,42,1
9,Fortuna Düsseldorf,30,34,11,8,15,63,75,37,0
10,Eintracht Frankfurt,29,34,12,5,17,48,57,23,0
11,Bayer Leverkusen,29,34,10,9,15,43,66,40,2
12,Borussia Mönchengladbach,28,34,12,4,18,64,63,44,1
13,Bochum,28,34,8,12,14,43,49,32,0
14,Nürnberg,28,34,11,6,17,44,70,25,1
15,Eintracht Braunschweig,27,34,8,11,15,42,65,25,0
16,Schalke 04,22,34,8,6,20,48,68,41,1
17,Karlsruher,21,34,7,7,20,39,86,45,0
18,Hertha Berliner,20,34,5,10,19,43,67,29,0
