position,club,points,P,W,D,L,F,A,YC,RD
1,Borussia Mönchengladbach,50,34,21,8,5,86,40,22,1
2,Hertha Berliner,44,34,19,6,9,61,43,31,0
3,Eintracht Frankfurt,43,34,18,7,9,89,49,25,0
4,Hamburger,43,34,18,7,9,55,38,33,0
5,Köln,41,34,17,7,10,77,51,28,1
6,Fortuna Düsseldorf,41,34,16,9,9,66,55,25,1
7,Schalke 04,39,34,16,7,11,52,37,21,1
8,Kickers Offenbach,38,34,17,4,13,72,62,35,1
9,Eintracht Braunschweig,36,34,14,8,12,52,42,31,0
10,Bayern München,34,34,14,6,14,57,63,25,0
11,Bochum,33,34,14,5,15,53,53,19,1
12,Rot-Weiss Essen,32,34,10,12,12,56,68,45,0
13,Kaiserslautern,31,34,13,5,16,56,55,30,1
14,Duisburg,30,34,12,6,16,59,77,30,1
15,Werder Bremen,25,34,9,7,18,45,69,27,0
16,Stuttgart,24,34,8,8,18,50,79,31,1
17,Tennis Borussia Berlin,16,34,5,6,23,38,89,32,1
18,Wuppertaler,12,34,2,8,24,32,86,41,2
