position,club,points,P,W,D,L,F,A,YC,RD
1,Bayern München,46,34,18,10,6,61,31,0,1
2,Alemannia Aachen,38,34,16,6,12,57,51,0,1
3,Borussia Mönchengladbach,37,34,13,11,10,61,46,0,0
4,Eintracht Braunschweig,37,34,13,11,10,46,43,0,0
5,Stuttgart,36,34,14,8,12,60,54,0,0
6,Hamburger,36,34,13,10,11,55,55,0,1
7,Schalke 04,35,34,14,7,13,45,40,0,1
8,Eintracht Frankfurt,34,34,13,8,13,46,43,0,0
9,Werder Bremen,34,34,14,6,14,59,59,0,1
10,1860 München,34,34,15,4,15,44,59,0,1
11,Hannover 96,32,34,9,14,11,47,45,0,1
12,Duisburg,32,34,8,16,10,33,37,0,0
13,Köln,32,34,13,6,15,47,56,0,1
14,Hertha Berliner,32,34,12,8,14,31,39,0,1
15,Kaiserslautern,30,34,12,6,16,45,47,0,0
16,Borussia Dortmund,30,34,11,8,15,49,54,0,0
17,Nürnberg,29,34,9,11,14,45,55,0,2
18,Kickers Offenbach,28,34,10,8,16,42,59,0,3
