position,club,points,P,W,D,L,F,A,YC,RD
1,Bayern München,76,34,22,10,2,68,21,48,3
2,Werder Bremen,66,34,20,6,8,75,45,70,7
3,Schalke 04,64,34,18,10,6,55,32,56,1
4,Hamburger,54,34,14,12,8,47,26,54,4
5,Wolfsburg,54,34,15,9,10,58,46,63,3
6,Stuttgart,52,34,16,4,14,57,57,64,6
7,Bayer Leverkusen,51,34,15,6,13,57,40,64,2
8,Hannover 96,49,34,13,10,11,54,56,70,5
9,Eintracht Frankfurt,46,34,12,10,12,43,50,57,0
10,Hertha Berliner,44,34,12,8,14,39,44,54,0
11,Karlsruher,43,34,11,10,13,38,53,58,1
12,Bochum,41,34,10,11,13,48,54,67,1
13,Borussia Dortmund,40,34,10,10,14,50,62,64,6
14,Energie Cottbus,36,34,9,9,16,35,56,71,1
15,Arminia Bielefeld,34,34,8,10,16,35,60,56,1
16,Nürnberg,31,34,7,10,17,35,51,63,3
17,Hansa Rostock,30,34,8,6,20,30,52,62,0
18,Duisburg,29,34,8,5,21,36,55,88,5
