position,club,points,P,W,D,L,F,A,YC,RD
1,Stuttgart,52,38,21,10,7,62,32,63,4
2,Borussia Dortmund,52,38,20,12,6,66,47,69,2
3,Eintracht Frankfurt,50,38,18,14,6,76,41,44,0
4,Köln,44,38,13,18,7,58,41,67,7
5,Kaiserslautern,44,38,17,10,11,58,42,47,4
6,Bayer Leverkusen,43,38,15,13,10,53,39,59,3
7,Nürnberg,43,38,18,7,13,54,51,75,5
8,Karlsruher,41,38,16,9,13,48,50,78,2
9,Werder Bremen,38,38,11,16,11,44,45,47,2
10,Bayern München,36,38,13,10,15,59,61,76,6
11,Schalke 04,34,38,11,12,15,45,45,65,4
12,Hamburger,34,38,9,16,13,32,43,53,2
13,Borussia Mönchengladbach,34,38,10,14,14,37,49,69,4
14,Dynamo Dresden,34,38,12,10,16,34,50,70,8
15,Bochum,33,38,10,13,15,38,55,62,5
16,Wattenscheid,32,38,9,14,15,50,60,81,4
17,Stuttgarter Kickers,31,38,10,11,17,53,64,59,2
18,Hansa Rostock,31,38,10,11,17,43,55,88,4
19,Duisburg,30,38,7,16,15,43,55,47,7
20,Fortuna Düsseldorf,24,38,6,12,20,41,69,57,1
