position,club,points,P,W,D,L,F,A,YC,RD
1,Hamburger,48,34,18,12,4,95,45,26,0
2,Köln,45,34,18,9,7,72,38,38,0
3,Bayern München,43,34,20,3,11,77,56,19,0
4,Kaiserslautern,42,34,16,10,8,70,61,21,1
5,Werder Bremen,42,34,17,8,9,61,52,19,0
6,Borussia Dortmund,41,34,18,5,11,59,40,14,0
7,Borussia Mönchengladbach,40,34,15,10,9,61,51,34,1
8,Eintracht Frankfurt,37,34,17,3,14,83,72,26,1
9,Stuttgart,35,34,13,9,12,62,55,31,1
10,Bochum,32,34,12,8,14,52,51,42,0
11,Eintracht Braunschweig,32,34,14,4,16,61,66,25,1
12,Arminia Bielefeld,30,34,12,6,16,46,50,31,1
13,Nürnberg,28,34,11,6,17,53,72,35,1
14,Karlsruher,27,34,9,9,16,50,68,32,1
15,Fortuna Düsseldorf,25,34,6,13,15,48,73,27,0
16,Bayer Leverkusen,25,34,9,7,18,45,72,31,0
17,Darmstadt,21,34,5,11,18,46,82,37,0
18,Duisburg,19,34,8,3,23,40,77,35,1
