position,club,points,P,W,D,L,F,A,YC,RD
1,1860 München,50,34,20,10,4,80,40,0,0
2,Borussia Dortmund,47,34,19,9,6,70,36,0,0
3,Bayern München,47,34,20,7,7,71,38,0,2
4,Werder Bremen,45,34,21,3,10,76,40,0,0
5,Köln,44,34,19,6,9,74,41,0,0
6,Nürnberg,39,34,14,11,9,54,43,0,0
7,Eintracht Frankfurt,38,34,16,6,12,64,46,0,0
8,Meidericher,36,34,14,8,12,70,48,0,1
9,Hamburger,34,34,13,8,13,64,52,0,1
10,Eintracht Braunschweig,34,34,11,12,11,49,49,0,0
11,Stuttgart,32,34,13,6,15,42,48,0,1
12,Hannover 96,30,34,11,8,15,59,57,0,1
13,Borussia Mönchengladbach,29,34,9,11,14,57,68,0,1
14,Schalke 04,27,34,10,7,17,33,55,0,0
15,Kaiserslautern,26,34,8,10,16,42,65,0,4
16,Karlsruher,24,34,9,6,19,35,71,0,0
17,Neunkirchen,22,34,9,4,21,32,82,0,0
18,Tasmania Berlin,8,34,2,4,28,15,108,0,0
