position,club,points,P,W,D,L,F,A,YC,RD
1,Werder Bremen,74,34,22,8,4,79,38,57,4
2,Bayern München,68,34,20,8,6,70,39,65,5
3,Bayer Leverkusen,65,34,19,8,7,73,39,73,4
4,Stuttgart,64,34,18,10,6,52,24,66,3
5,Bochum,56,34,15,11,8,57,39,64,0
6,Borussia Dortmund,55,34,16,7,11,59,48,65,3
7,Schalke 04,50,34,13,11,10,49,42,68,5
8,Hamburger,49,34,14,7,13,47,60,79,3
9,Hansa Rostock,44,34,12,8,14,55,54,80,5
10,Wolfsburg,42,34,13,3,18,56,61,95,4
11,Borussia Mönchengladbach,39,34,10,9,15,40,49,65,4
12,Hertha Berliner,39,34,9,12,13,42,59,87,8
13,Freiburg,38,34,10,8,16,42,67,54,4
14,Hannover 96,37,34,9,10,15,49,63,72,7
15,Kaiserslautern,36*,34,11,6,17,39,62,94,7
16,Eintracht Frankfurt,32,34,9,5,20,36,53,71,4
17,1860 München,32,34,8,8,18,32,55,84,7
18,Köln,23,34,6,5,23,32,57,72,4
