position,club,points,P,W,D,L,F,A,YC,RD
1,Bayern München,75,34,23,6,5,70,25,50,0
2,Stuttgart,59,34,17,8,9,53,39,66,2
3,Borussia Dortmund,58,34,15,13,6,51,27,67,5
4,Hamburger,56,34,15,11,8,46,36,78,6
5,Hertha Berliner,54,34,16,6,12,52,43,66,1
6,Werder Bremen,52,34,16,4,14,51,50,75,8
7,Schalke 04,49,34,12,13,9,46,40,80,9
8,Wolfsburg,46,34,13,7,14,39,42,95,4
9,Bochum,45,34,12,9,13,55,56,62,0
10,1860 München,45,34,12,9,13,44,52,74,4
11,Hannover 96,43,34,12,7,15,47,57,78,3
12,Borussia Mönchengladbach,42,34,11,9,14,43,45,58,4
13,Hansa Rostock,41,34,11,8,15,35,41,57,5
14,Kaiserslautern,40,34,10,10,14,40,42,75,1
15,Bayer Leverkusen,40,34,11,7,16,47,56,78,6
16,Arminia Bielefeld,36,34,8,12,14,35,46,52,5
17,Nürnberg,30,34,8,6,20,33,60,72,3
18,Energie Cottbus,30,34,7,9,18,34,64,86,5
