position,club,points,P,W,D,L,F,A,YC,RD
1,Bayern München,44,34,17,10,7,68,37,73,4
2,Kaiserslautern,43,34,18,7,9,64,36,50,1
3,Bayer Leverkusen,39,34,14,11,9,60,47,62,4
4,Borussia Dortmund,39,34,15,9,10,49,45,100,4
5,Eintracht Frankfurt,38,34,15,8,11,57,41,55,0
6,Karlsruher,38,34,14,10,10,46,43,68,6
7,Stuttgart,37,34,13,11,10,51,43,57,4
8,Werder Bremen,36,34,13,10,11,51,44,52,4
9,Duisburg,36,34,14,8,12,41,52,64,5
10,Borussia Mönchengladbach,35,34,14,7,13,65,59,51,2
11,Köln,34,34,14,6,14,49,51,62,4
12,Hamburger,34,34,13,8,13,48,52,54,5
13,Dynamo Dresden,30*,34,10,14,10,33,44,61,8
14,Schalke 04,29,34,10,9,15,38,50,56,0
15,Freiburg,28,34,10,8,16,54,57,63,6
16,Nürnberg,28,34,10,8,16,41,55,64,5
17,Wattenscheid,23,34,6,11,17,48,70,59,5
18,Leipzig,17,34,3,11,20,32,69,66,8
