position,club,points,P,W,D,L,F,A,YC,RD
1,Kaiserslautern,48,34,19,10,5,72,45,54,6
2,Bayern München,45,34,18,9,7,74,41,45,4
3,Werder Bremen,42,34,14,14,6,46,29,38,1
4,Eintracht Frankfurt,40,34,15,10,9,63,40,44,0
5,Hamburger,40,34,16,8,10,60,38,43,0
6,Stuttgart,38,34,14,10,10,57,44,51,2
7,Köln,37,34,13,11,10,50,43,59,2
8,Bayer Leverkusen,35,34,11,13,10,47,46,58,3
9,Borussia Mönchengladbach,35,34,9,17,8,49,54,56,2
10,Borussia Dortmund,34,34,10,14,10,46,57,53,4
11,Wattenscheid,33,34,9,15,10,42,51,52,2
12,Fortuna Düsseldorf,32,34,11,10,13,40,49,43,2
13,Karlsruher,31,34,8,15,11,46,52,66,1
14,Bochum,29,34,9,11,14,50,52,55,3
15,Nürnberg,29,34,10,9,15,40,54,70,3
16,St. Pauli,27,34,6,15,13,33,53,67,5
17,Uerdingen,23,34,5,13,16,34,54,51,4
18,Hertha Berliner,14,34,3,8,23,37,84,53,2
