position,club,points,P,W,D,L,F,A,YC,RD
1,Borussia Mönchengladbach,50,34,20,10,4,77,35,0,0
2,Bayern München,48,34,19,10,5,74,36,0,1
3,Hertha Berliner,41,34,16,9,9,61,43,0,0
4,Eintracht Braunschweig,39,34,16,7,11,52,40,0,0
5,Hamburger,37,34,13,11,10,54,63,0,0
6,Schalke 04,36,34,15,6,13,44,40,0,0
7,Duisburg,35,34,12,11,11,43,47,0,0
8,Kaiserslautern,34,34,15,4,15,54,57,0,0
9,Hannover 96,33,34,12,9,13,53,49,0,0
10,Werder Bremen,33,34,11,11,12,41,40,0,0
11,Köln,33,34,11,11,12,46,56,0,1
12,Stuttgart,30,34,11,8,15,49,49,0,0
13,Borussia Dortmund,29,34,10,9,15,54,60,0,0
14,Arminia Bielefeld,29,34,12,5,17,34,53,0,0
15,Eintracht Frankfurt,28,34,11,6,17,39,56,0,2
16,Oberhausen,27,34,9,9,16,54,69,0,1
17,Kickers Offenbach,27,34,9,9,16,49,65,0,0
18,Rot-Weiss Essen,23,34,7,9,18,48,68,0,0
