position,club,points,P,W,D,L,F,A,YC,RD
1,Stuttgart,70,34,21,7,6,61,37,54,6
2,Schalke 04,68,34,21,5,8,53,32,67,2
3,Werder Bremen,66,34,20,6,8,76,40,65,0
4,Bayern München,60,34,18,6,10,55,40,58,0
5,Bayer Leverkusen,51,34,15,6,13,54,49,77,8
6,Nürnberg,48,34,11,15,8,43,32,68,2
7,Hamburger,45,34,10,15,9,43,37,67,7
8,Bochum,45,34,13,6,15,49,50,61,3
9,Borussia Dortmund,44,34,12,8,14,41,43,65,2
10,Hertha Berliner,44,34,12,8,14,50,55,75,7
11,Hannover 96,44,34,12,8,14,41,50,52,3
12,Arminia Bielefeld,42,34,11,9,14,47,49,51,2
13,Energie Cottbus,41,34,11,8,15,38,49,88,3
14,Eintracht Frankfurt,40,34,9,13,12,46,58,47,7
15,Wolfsburg,37,34,8,13,13,37,45,65,1
16,Mainz 05,34,34,8,10,16,34,57,58,2
17,Alemannia Aachen,34,34,9,7,18,46,70,76,5
18,Borussia Mönchengladbach,26,34,6,8,20,23,44,65,3
