position,club,points,P,W,D,L,F,A,YC,RD
1,Bayern München,75,34,22,9,3,67,32,58,3
2,Werder Bremen,70,34,21,7,6,79,37,69,2
3,Hamburger,68,34,21,5,8,53,30,73,2
4,Schalke 04,61,34,16,13,5,47,31,75,6
5,Bayer Leverkusen,52,34,14,10,10,64,49,63,3
6,Hertha Berliner,48,34,12,12,10,52,48,80,9
7,Borussia Dortmund,46,34,11,13,10,45,42,52,2
8,Nürnberg,44,34,12,8,14,49,51,78,5
9,Stuttgart,43,34,9,16,9,37,39,75,2
10,Borussia Mönchengladbach,42,34,10,12,12,42,50,77,2
11,Mainz 05,38,34,9,11,14,46,47,67,0
12,Hannover 96,38,34,7,17,10,43,47,63,2
13,Arminia Bielefeld,37,34,10,7,17,32,47,55,0
14,Eintracht Frankfurt,36,34,9,9,16,42,51,60,1
15,Wolfsburg,34,34,7,13,14,33,55,81,6
16,Kaiserslautern,33,34,8,9,17,47,71,60,2
17,Köln,30,34,7,9,18,49,71,79,7
18,Duisburg,27,34,5,12,17,34,63,93,5
