position,club,points,P,W,D,L,F,A,YC,RD
1,Bayern München,50,34,22,6,6,84,33,20,0
2,Hamburger,48,34,20,8,6,86,35,25,0
3,Stuttgart,41,34,17,7,10,75,53,35,0
4,Kaiserslautern,41,34,18,5,11,75,53,36,0
5,Köln,37,34,14,9,11,72,55,24,0
6,Borussia Dortmund,36,34,14,8,12,64,56,46,1
7,Borussia Mönchengladbach,36,34,12,12,10,61,60,28,2
8,Schalke 04,33,34,12,9,13,40,51,28,0
9,Eintracht Frankfurt,32,34,15,2,17,65,61,24,2
10,Bochum,32,34,13,6,15,41,44,26,1
11,Fortuna Düsseldorf,32,34,13,6,15,62,72,26,0
12,Bayer Leverkusen,32,34,12,8,14,45,61,37,0
13,1860 München,30,34,10,10,14,42,53,30,0
14,Duisburg,29,34,11,7,16,43,57,23,0
15,Uerdingen,29,34,12,5,17,43,61,34,0
16,Hertha Berliner,29,34,11,7,16,41,61,35,0
17,Werder Bremen,25,34,11,3,20,52,93,33,1
18,Eintracht Braunschweig,20,34,6,8,20,32,64,33,0
