position,club,points,P,W,D,L,F,A,YC,RD
1,Stuttgart,48,34,19,10,5,79,33,48,0
2,Hamburger,48,34,21,6,7,75,36,48,2
3,Borussia Mönchengladbach,48,34,21,6,7,81,48,41,0
4,Bayern München,47,34,20,7,7,84,41,37,0
5,Werder Bremen,45,34,19,7,8,79,46,37,1
6,Köln,38,34,16,6,12,70,57,44,1
7,Bayer Leverkusen,34,34,13,8,13,50,50,34,1
8,Arminia Bielefeld,33,34,12,9,13,40,49,56,1
9,Eintracht Braunschweig,32,34,13,6,15,54,69,36,3
10,Uerdingen,31,34,12,7,15,66,79,43,2
11,Mannheim,31,34,10,11,13,45,58,53,2
12,Kaiserslautern,30,34,12,6,16,68,69,31,1
13,Borussia Dortmund,30,34,11,8,15,54,65,31,2
14,Fortuna Düsseldorf,29,34,11,7,16,63,75,37,0
15,Bochum,28,34,10,8,16,58,70,38,0
16,Eintracht Frankfurt,27,34,7,13,14,45,61,29,3
17,Kickers Offenbach,19,34,7,5,22,48,106,55,1
18,Nürnberg,14,34,6,2,26,38,85,50,1
