position,club,points,P,W,D,L,F,A,YC,RD
1,Borussia Dortmund,68,34,19,11,4,76,38,69,2
2,Bayern München,62,34,19,5,10,66,46,75,4
3,Schalke 04,56,34,14,14,6,45,36,68,0
4,Borussia Mönchengladbach,53,34,15,8,11,52,51,59,3
5,Hamburger,50,34,12,14,8,52,47,68,2
6,Hansa Rostock,49,34,13,10,11,47,43,55,3
7,Karlsruher,48,34,12,12,10,53,47,85,7
8,1860 München,45,34,11,12,11,52,46,79,5
9,Werder Bremen,44,34,10,14,10,39,42,71,2
10,Stuttgart,43,34,10,13,11,59,62,85,4
11,Freiburg,42,34,11,9,14,30,41,65,4
12,Köln,40,34,9,13,12,33,35,74,8
13,Fortuna Düsseldorf,40,34,8,16,10,40,47,64,3
14,Bayer Leverkusen,38,34,8,14,12,37,38,71,8
15,St. Pauli,38,34,9,11,14,43,51,75,3
16,Kaiserslautern,36,34,6,18,10,31,37,79,4
17,Eintracht Frankfurt,32,34,7,11,16,43,68,66,5
18,Uerdingen,26,34,5,11,18,33,56,77,2
