position,club,points,P,W,D,L,F,A,YC,RD
1,Eintracht Braunschweig,43,34,17,9,8,49,27,0,0
2,1860 München,41,34,17,7,10,60,47,0,2
3,Borussia Dortmund,39,34,15,9,10,70,41,0,2
4,Eintracht Frankfurt,39,34,15,9,10,66,49,0,2
5,Kaiserslautern,38,34,13,12,9,43,42,0,2
6,Bayern München,37,34,16,5,13,62,47,0,0
7,Köln,37,34,14,9,11,48,48,0,1
8,Borussia Mönchengladbach,34,34,12,10,12,70,49,0,0
9,Hannover 96,34,34,13,8,13,40,46,0,0
10,Nürnberg,34,34,12,10,12,43,50,0,1
11,Meidericher,33,34,10,13,11,40,42,0,1
12,Stuttgart,33,34,10,13,11,48,54,0,0
13,Karlsruher,31,34,11,9,14,54,62,0,0
14,Hamburger,30,34,10,10,14,37,53,0,1
15,Schalke 04,30,34,12,6,16,37,63,0,1
16,Werder Bremen,29,34,10,9,15,49,56,0,0
17,Fortuna Düsseldorf,25,34,9,7,18,44,66,0,1
18,Rot-Weiss Essen,25,34,6,13,15,35,53,0,0
