position,club,points,P,W,D,L,F,A,YC,RD
1,Nürnberg,47,34,19,9,6,71,37,0,1
2,Werder Bremen,44,34,18,8,8,68,51,0,0
3,Borussia Mönchengladbach,42,34,15,12,7,77,45,0,0
4,Köln,38,34,17,4,13,68,52,0,0
5,Bayern München,38,34,16,6,12,68,58,0,0
6,Eintracht Frankfurt,38,34,15,8,11,58,51,0,1
7,Duisburg,36,34,13,10,11,69,58,0,1
8,Stuttgart,35,34,14,7,13,65,54,0,0
9,Eintracht Braunschweig,35,34,15,5,14,37,39,0,0
10,Hannover 96,34,34,12,10,12,48,52,0,2
11,Alemannia Aachen,34,34,13,8,13,52,66,0,1
12,1860 München,33,34,11,11,12,55,39,0,0
13,Hamburger,33,34,11,11,12,51,54,0,1
14,Borussia Dortmund,31,34,12,7,15,60,59,0,0
15,Schalke 04,30,34,11,8,15,42,48,0,1
16,Kaiserslautern,28,34,8,12,14,39,67,0,1
17,Neunkirchen,19,34,7,5,22,33,93,0,3
18,Karlsruher,17,34,6,5,23,32,70,0,1
