position,club,points,P,W,D,L,F,A,YC,RD
1,Bayern München,49,34,21,7,6,82,31,42,1
2,Werder Bremen,49,34,20,9,5,83,41,30,2
3,Uerdingen,45,34,19,7,8,63,60,46,3
4,Borussia Mönchengladbach,42,34,15,12,7,65,51,56,2
5,Stuttgart,41,34,17,7,10,69,45,50,1
6,Bayer Leverkusen,40,34,15,10,9,63,51,43,2
7,Hamburger,39,34,17,5,12,52,35,39,2
8,Mannheim,33,34,11,11,12,41,44,56,1
9,Bochum,32,34,14,4,16,55,57,36,1
10,Schalke 04,30,34,11,8,15,53,58,36,1
11,Kaiserslautern,30,34,10,10,14,49,54,49,1
12,Nürnberg,29,34,12,5,17,51,54,43,1
13,Köln,29,34,9,11,14,46,59,46,2
14,Fortuna Düsseldorf,29,34,11,7,16,54,78,53,1
15,Eintracht Frankfurt,28,34,7,14,13,35,49,49,3
16,Borussia Dortmund,28,34,10,8,16,49,65,32,1
17,Saarbrücken,21,34,6,9,19,39,68,31,2
18,Hannover 96,18,34,5,8,21,43,92,62,4
