position,club,points,P,W,D,L,F,A,YC,RD
1,Bayern München,82,34,26,4,4,100,32,52,3
2,Borussia Dortmund,69,34,21,6,7,84,41,48,1
3,RB Leipzig,66,34,18,12,4,81,37,50,3
4,Borussia Mönchengladbach,65,34,20,5,9,66,40,74,3
5,Bayer Leverkusen,63,34,19,6,9,61,44,58,6
6,Hoffenheim,52,34,15,7,12,53,53,65,2
7,Wolfsburg,49,34,13,10,11,48,46,69,4
8,Freiburg,48,34,13,9,12,48,47,42,2
9,Eintracht Frankfurt,45,34,13,6,15,59,60,70,4
10,Hertha Berliner,41,34,11,8,15,48,59,76,4
11,Union Berlin,41,34,12,5,17,41,58,68,5
12,Schalke 04,39,34,9,12,13,38,58,63,2
13,Mainz 05,37,34,11,4,19,44,65,73,3
14,Köln,36,34,10,6,18,51,69,78,4
15,Augsburg,36,34,9,9,16,45,63,66,2
16,Werder Bremen,31,34,8,7,19,42,69,76,4
17,Fortuna Düsseldorf,30,34,6,12,16,36,67,78,0
18,Paderborn,20,34,4,8,22,37,74,82,3
