position,club,points,P,W,D,L,F,A,YC,RD
1,Bayern München,78,34,24,6,4,76,28,81,3
2,Bayer Leverkusen,63,34,17,12,5,61,30,65,5
3,Hertha Berliner,62,34,18,8,8,59,32,77,5
4,Borussia Dortmund,57,34,16,9,9,48,34,78,6
5,Kaiserslautern,57,34,17,6,11,51,47,61,3
6,Wolfsburg,55,34,15,10,9,54,49,67,3
7,Hamburger,50,34,13,11,10,47,46,69,5
8,Duisburg,49,34,13,10,11,48,45,89,2
9,1860 München,41,34,11,8,15,49,56,84,4
10,Schalke 04,41,34,10,11,13,41,54,68,4
11,Stuttgart,39,34,9,12,13,41,48,79,6
12,Freiburg,39,34,10,9,15,36,44,72,3
13,Werder Bremen,38,34,10,8,16,41,47,68,4
14,Hansa Rostock,38,34,9,11,14,49,58,86,8
15,Eintracht Frankfurt,37,34,9,10,15,44,54,75,4
16,Nürnberg,37,34,7,16,11,40,50,70,5
17,Bochum,29,34,7,8,19,40,65,77,5
18,Borussia Mönchengladbach,21,34,4,9,21,41,79,84,5
