position,club,points,P,W,D,L,F,A,YC,RD
1,Kaiserslautern,68,34,19,11,4,63,39,49,1
2,Bayern München,66,34,19,9,6,69,37,68,3
3,Bayer Leverkusen,55,34,14,13,7,66,39,69,2
4,Stuttgart,52,34,14,10,10,55,49,75,6
5,Schalke 04,52,34,13,13,8,38,32,72,5
6,Hansa Rostock,51,34,14,9,11,54,46,71,2
7,Werder Bremen,50,34,14,8,12,43,47,72,4
8,Duisburg,44,34,11,11,12,43,44,61,2
9,Hamburger,44,34,11,11,12,38,46,69,8
10,Borussia Dortmund,43,34,11,10,13,57,55,67,2
11,Hertha Berliner,43,34,12,7,15,41,53,82,1
12,Bochum,41,34,11,8,15,41,49,75,5
13,1860 München,41,34,11,8,15,43,54,86,3
14,Wolfsburg,39,34,11,6,17,38,54,72,1
15,Borussia Mönchengladbach,38,34,9,11,14,54,59,66,3
16,Karlsruher,38,34,9,11,14,48,60,64,4
17,Köln,36,34,10,6,18,49,64,79,3
18,Arminia Bielefeld,32,34,8,8,18,43,56,82,4
