position,club,points,P,W,D,L,F,A,YC,RD
1,Bayern München,78,34,24,6,4,88,32,42,2
2,Borussia Dortmund,76,34,23,7,4,81,44,40,3
3,RB Leipzig,66,34,19,9,6,63,29,61,1
4,Bayer Leverkusen,58,34,18,4,12,69,52,50,1
5,Borussia Mönchengladbach,55,34,16,7,11,55,42,43,0
6,Wolfsburg,55,34,16,7,11,62,50,62,0
7,Eintracht Frankfurt,54,34,15,9,10,60,48,58,3
8,Werder Bremen,53,34,14,11,9,58,49,61,3
9,Hoffenheim,51,34,13,12,9,70,52,67,2
10,Fortuna Düsseldorf,44,34,13,5,16,49,65,67,1
11,Hertha Berliner,43,34,11,10,13,49,57,64,5
12,Mainz 05,43,34,12,7,15,46,57,56,0
13,Freiburg,36,34,8,12,14,46,61,54,3
14,Schalke 04,33,34,8,9,17,37,55,72,5
15,Augsburg,32,34,8,8,18,51,71,55,1
16,Stuttgart,28,34,7,7,20,32,70,64,5
17,Hannover 96,21,34,5,6,23,31,71,62,4
18,Nürnberg,19,34,3,10,21,26,68,58,4
