position,club,points,P,W,D,L,F,A,YC,RD
1,Werder Bremen,41,30,15,11,4,54,29,0,0
2,Köln,38,30,14,10,6,66,45,0,1
3,Borussia Dortmund,36,30,15,6,9,67,48,0,0
4,1860 München,35,30,14,7,9,70,50,0,1
5,Hannover 96,33,30,13,7,10,48,42,0,1
6,Nürnberg,32,30,11,10,9,44,38,0,0
7,Meidericher,32,30,12,8,10,46,48,0,1
8,Eintracht Frankfurt,29,30,11,7,12,50,58,0,0
9,Eintracht Braunschweig,28,30,10,8,12,42,47,0,0
10,Neunkirchen,27,30,9,9,12,44,48,0,1
11,Hamburger,27,30,11,5,14,46,56,0,1
12,Stuttgart,26,30,9,8,13,46,50,0,2
13,Kaiserslautern,25,30,11,3,16,41,53,0,1
14,Hertha Berliner,25*,30,7,11,12,40,62,0,0
15,Karlsruher,24,30,9,6,15,47,62,0,0
16,Schalke 04,22,30,7,8,15,45,60,0,1
