position,club,points,P,W,D,L,F,A,YC,RD
1,Bayern München,70,34,20,10,4,72,31,45,1
2,Schalke 04,65,34,19,8,7,53,31,61,1
3,Werder Bremen,61,34,17,10,7,71,40,53,2
4,Bayer Leverkusen,59,34,15,14,5,65,38,69,3
5,Borussia Dortmund,57,34,16,9,9,54,42,50,0
6,Stuttgart,55,34,15,10,9,51,41,72,2
7,Hamburger,52,34,13,13,8,56,41,56,3
8,Wolfsburg,50,34,14,8,12,64,58,61,1
9,Mainz 05,47,34,12,11,11,36,42,60,4
10,Eintracht Frankfurt,46,34,12,10,12,47,54,65,5
11,Hoffenheim,42,34,11,9,14,44,42,66,3
12,Borussia Mönchengladbach,39,34,10,9,15,43,60,48,1
13,Köln,38,34,9,11,14,33,42,71,4
14,Freiburg,35,34,9,8,17,35,59,52,0
15,Hannover 96,33,34,9,6,19,43,67,66,3
16,Nürnberg,31,34,8,7,19,32,58,56,2
17,Bochum,28,34,6,10,18,33,64,71,4
18,Hertha Berliner,24,34,5,9,20,34,56,58,2
