position,club,points,P,W,D,L,F,A,YC,RD
1,Bayern München,77,34,24,5,5,75,33,61,4
2,Schalke 04,63,34,20,3,11,56,46,72,4
3,Werder Bremen,59,34,18,5,11,68,37,56,4
4,Hertha Berliner,58,34,15,13,6,59,31,67,5
5,Stuttgart,58,34,17,7,10,54,40,76,5
6,Bayer Leverkusen,57,34,16,9,9,65,44,62,2
7,Borussia Dortmund,55,34,15,10,9,47,44,62,2
8,Hamburger,51,34,16,3,15,55,50,88,4
9,Wolfsburg,48,34,15,3,16,49,51,65,5
10,Hannover 96,45,34,13,6,15,34,36,39,1
11,Mainz 05,43,34,12,7,15,50,55,49,2
12,Kaiserslautern,42,34,12,6,16,43,52,78,3
13,Arminia Bielefeld,40,34,11,7,16,37,49,48,0
14,Nürnberg,38,34,10,8,16,55,63,78,4
15,Borussia Mönchengladbach,36,34,8,12,14,35,51,82,4
16,Bochum,35,34,9,8,17,47,68,71,4
17,Hansa Rostock,30,34,7,9,18,31,65,85,4
18,Freiburg,18,34,3,9,22,30,75,62,4
