position,club,points,P,W,D,L,F,A,YC,RD
1,Bayern München,53,34,20,13,1,67,31,39,1
2,Hamburger,47,34,19,9,6,69,37,35,0
3,Borussia Mönchengladbach,43,34,18,7,9,74,44,40,0
4,Borussia Dortmund,40,34,15,10,9,70,50,38,0
5,Werder Bremen,40,34,17,6,11,65,54,47,1
6,Bayer Leverkusen,39,34,16,7,11,56,38,45,2
7,Kaiserslautern,37,34,15,7,12,64,51,56,4
8,Uerdingen,35,34,12,11,11,51,49,50,1
9,Nürnberg,35,34,12,11,11,62,62,27,2
10,Köln,35,34,13,9,12,50,53,40,1
11,Bochum,32,34,9,14,11,52,44,47,2
12,Stuttgart,32,34,13,6,15,55,49,38,0
13,Schalke 04,32,34,12,8,14,50,58,36,0
14,Mannheim,28,34,10,8,16,52,71,43,0
15,Eintracht Frankfurt,25,34,8,9,17,42,53,39,0
16,Homburg,21,34,6,9,19,33,79,47,1
17,Fortuna Düsseldorf,20,34,7,6,21,42,91,48,3
18,Berlin,18,34,3,12,19,36,76,45,1
