position,club,points,P,W,D,L,F,A,YC,RD
1,Bayern München,50,34,19,12,3,67,26,44,0
2,Köln,45,34,18,9,7,58,30,57,1
3,Werder Bremen,44,34,18,8,8,55,32,35,0
4,Hamburger,43,34,17,9,8,60,36,37,1
5,Stuttgart,39,34,16,7,11,58,49,45,3
6,Borussia Mönchengladbach,38,34,12,14,8,44,43,59,3
7,Borussia Dortmund,37,34,12,13,9,56,40,48,1
8,Bayer Leverkusen,34,34,10,14,10,45,44,45,2
9,Kaiserslautern,33,34,10,13,11,47,44,47,3
10,St. Pauli,32,34,9,14,11,41,42,65,0
11,Karlsruher,32,34,12,8,14,48,51,48,2
12,Mannheim,31,34,10,11,13,43,52,63,3
13,Uerdingen,31,34,10,11,13,50,60,44,2
14,Nürnberg,26,34,8,10,16,36,54,42,2
15,Bochum,26,34,9,8,17,37,57,46,1
16,Eintracht Frankfurt,26,34,8,10,16,30,53,60,2
17,Stuttgarter Kickers,26,34,10,6,18,41,68,66,2
18,Hannover 96,19,34,4,11,19,36,71,61,2
