position,club,points,P,W,D,L,F,A,YC,RD
1,Köln,48,34,22,4,8,86,41,29,0
2,Borussia Mönchengladbach,48,34,20,8,6,86,44,15,0
3,Hertha Berliner,40,34,15,10,9,59,48,26,1
4,Stuttgart,39,34,17,5,12,58,40,34,0
5,Fortuna Düsseldorf,39,34,15,9,10,49,36,31,1
6,Duisburg,37,34,15,7,12,62,59,26,2
7,Eintracht Frankfurt,36,34,16,4,14,59,52,36,1
8,Kaiserslautern,36,34,16,4,14,64,63,32,1
9,Schalke 04,34,34,14,6,14,47,52,26,0
10,Hamburger,34,34,14,6,14,61,67,26,0
11,Borussia Dortmund,33,34,14,5,15,57,71,24,0
12,Bayern München,32,34,11,10,13,62,64,25,3
13,Eintracht Braunschweig,32,34,14,4,16,43,53,36,0
14,Bochum,31,34,11,9,14,49,51,29,1
15,Werder Bremen,31,34,13,5,16,48,57,26,0
16,1860 München,22,34,7,8,19,41,60,38,1
17,Saarbrücken,22,34,6,10,18,39,70,34,0
18,St. Pauli,18,34,6,6,22,44,86,30,0
