position,club,points,P,W,D,L,F,A,YC,RD
1,Bayern München,79,34,25,4,5,80,18,37,2
2,Wolfsburg,69,34,20,9,5,72,38,44,1
3,Borussia Mönchengladbach,66,34,19,9,6,53,26,53,2
4,Bayer Leverkusen,61,34,17,10,7,62,37,78,4
5,Augsburg,49,34,15,4,15,43,43,62,3
6,Schalke 04,48,34,13,9,12,42,40,66,4
7,Borussia Dortmund,46,34,13,7,14,47,42,55,0
8,Hoffenheim,44,34,12,8,14,49,55,66,2
9,Eintracht Frankfurt,43,34,11,10,13,56,62,85,3
10,Werder Bremen,43,34,11,10,13,50,65,68,2
11,Mainz 05,40,34,9,13,12,45,47,51,2
12,Köln,40,34,9,13,12,34,40,48,2
13,Hannover 96,37,34,9,10,15,40,56,75,5
14,Stuttgart,36,34,9,9,16,42,60,59,5
15,Hertha Berliner,35,34,9,8,17,36,52,74,4
16,Hamburger,35,34,9,8,17,25,50,82,5
17,Freiburg,34,34,7,13,14,36,47,62,4
18,Paderborn,31,34,7,10,17,31,65,51,3
