position,club,points,P,W,D,L,F,A,YC,RD
1,Werder Bremen,52,34,22,8,4,61,22,39,4
2,Bayern München,48,34,22,4,8,83,45,35,2
3,Köln,48,34,18,12,4,57,28,51,2
4,Stuttgart,40,34,16,8,10,69,49,41,0
5,Nürnberg,37,34,13,11,10,44,40,29,2
6,Hamburger,37,34,13,11,10,63,68,43,0
7,Borussia Mönchengladbach,33,34,14,5,15,55,53,53,3
8,Bayer Leverkusen,32,34,10,12,12,53,60,48,2
9,Eintracht Frankfurt,31,34,10,11,13,51,50,40,0
10,Hannover 96,31,34,12,7,15,59,60,56,1
11,Uerdingen,31,34,11,9,14,59,61,42,3
12,Bochum,30,34,10,10,14,47,51,37,2
13,Borussia Dortmund,29,34,9,11,14,51,54,39,1
14,Kaiserslautern,29,34,11,7,16,53,62,54,3
15,Karlsruher,29,34,9,11,14,37,55,43,0
16,Mannheim,28,34,7,14,13,35,50,73,1
17,Homburg,24,34,7,10,17,37,70,47,0
18,Schalke 04,23,34,8,7,19,48,84,42,1
