position,club,points,P,W,D,L,F,A,YC,RD
1,Bayern München,54,34,25,4,5,93,29,0,0
2,Köln,43,34,16,11,7,66,51,0,0
3,Fortuna Düsseldorf,42,34,15,12,7,62,45,0,0
4,Wuppertaler,40,34,15,10,9,62,49,0,0
5,Borussia Mönchengladbach,39,34,17,5,12,82,61,0,0
6,Stuttgart,37,34,17,3,14,71,65,0,0
7,Kickers Offenbach,35,34,14,7,13,61,60,0,1
8,Eintracht Frankfurt,34,34,15,4,15,58,54,0,0
9,Kaiserslautern,34,34,12,10,12,58,68,0,0
10,Duisburg,33,34,12,9,13,53,54,0,1
11,Werder Bremen,31,34,12,7,15,50,52,0,1
12,Bochum,31,34,11,9,14,50,68,0,0
13,Hertha Berliner,30,34,11,8,15,53,64,0,0
14,Hamburger,28,34,10,8,16,53,59,0,1
15,Schalke 04,28,34,10,8,16,46,61,0,0
16,Hannover 96,26,34,9,8,17,49,65,0,1
17,Eintracht Braunschweig,25,34,9,7,18,33,56,0,0
18,Oberhausen,22,34,9,4,21,45,84,0,0
