position,club,points,P,W,D,L,F,A,YC,RD
1,Bayern München,53,34,22,9,3,89,41,18,0
2,Hamburger,49,34,21,7,6,73,43,33,2
3,Stuttgart,46,34,19,8,7,70,44,33,1
4,Kaiserslautern,44,34,17,10,7,60,37,30,0
5,Eintracht Frankfurt,38,34,13,12,9,61,57,26,0
6,Borussia Mönchengladbach,37,34,15,7,12,68,64,29,0
7,Borussia Dortmund,35,34,13,9,12,69,59,47,0
8,Köln,34,34,12,10,12,54,55,24,1
9,Bochum,33,34,9,15,10,53,45,30,0
10,Karlsruher,32,34,9,14,11,56,63,35,0
11,Bayer Leverkusen,30,34,10,10,14,52,53,34,0
12,Duisburg,29,34,10,9,15,45,58,29,0
13,Fortuna Düsseldorf,28,34,10,8,16,57,64,29,1
14,Nürnberg,28,34,11,6,17,47,57,37,1
15,Arminia Bielefeld,26,34,10,6,18,46,65,39,1
16,1860 München,25,34,9,7,18,49,67,29,0
17,Schalke 04,23,34,8,7,19,43,88,45,0
18,Uerdingen,22,34,8,6,20,47,79,34,1
