position,club,points,P,W,D,L,F,A,YC,RD
1,Borussia Dortmund,75,34,23,6,5,67,22,40,1
2,Bayer Leverkusen,68,34,20,8,6,64,44,56,1
3,Bayern München,65,34,19,8,7,81,40,43,2
4,Hannover 96,60,34,19,3,12,49,45,57,5
5,Mainz 05,58,34,18,4,12,52,39,54,1
6,Nürnberg,47,34,13,8,13,47,45,66,3
7,Kaiserslautern,46,34,13,7,14,48,51,61,4
8,Hamburger,45,34,12,9,13,46,52,54,2
9,Freiburg,44,34,13,5,16,41,50,47,3
10,Köln,44,34,13,5,16,47,62,79,1
11,Hoffenheim,43,34,11,10,13,50,50,62,4
12,Stuttgart,42,34,12,6,16,60,59,64,4
13,Werder Bremen,41,34,10,11,13,47,61,69,4
14,Schalke 04,40,34,11,7,16,38,44,54,4
15,Wolfsburg,38,34,9,11,14,43,48,72,2
16,Borussia Mönchengladbach,36,34,10,6,18,48,65,53,8
17,Eintracht Frankfurt,34,34,9,7,18,31,49,74,3
18,St. Pauli,29,34,8,5,21,35,68,58,5
