position,club,points,P,W,D,L,F,A,YC,RD
1,Borussia Dortmund,70,34,21,7,6,62,33,75,3
2,Bayer Leverkusen,69,34,21,6,7,77,38,101,5
3,Bayern München,68,34,20,8,6,65,25,68,1
4,Hertha Berliner,61,34,18,7,9,61,38,76,4
5,Schalke 04,61,34,18,7,9,52,36,78,1
6,Werder Bremen,56,34,17,5,12,54,43,80,5
7,Kaiserslautern,56,34,17,5,12,62,53,91,3
8,Stuttgart,50,34,13,11,10,47,43,56,6
9,1860 München,50,34,15,5,14,59,59,75,6
10,Wolfsburg,46,34,13,7,14,57,49,66,6
11,Hamburger,40,34,10,10,14,51,57,81,3
12,Borussia Mönchengladbach,39,34,9,12,13,41,53,61,3
13,Energie Cottbus,35,34,9,8,17,36,60,102,7
14,Hansa Rostock,34,34,9,7,18,35,54,59,4
15,Nürnberg,34,34,10,4,20,34,57,75,4
16,Freiburg,30,34,7,9,18,37,64,53,2
17,Köln,29,34,7,8,19,26,61,83,3
18,St. Pauli,22,34,4,10,20,37,70,80,5
