position,club,points,P,W,D,L,F,A,YC,RD
1,Bayern München,30,13,9,3,1,39,19,20,1
2,Bayer Leverkusen,28,13,8,4,1,28,12,24,0
3,RB Leipzig,28,13,8,4,1,24,9,22,0
4,Wolfsburg,24,13,6,6,1,20,13,22,0
5,Borussia Dortmund,22,13,7,1,5,26,18,18,0
6,Union Berlin,21,13,5,6,2,27,18,23,1
7,Stuttgart,18,13,4,6,3,26,20,31,1
8,Borussia Mönchengladbach,18,13,4,6,3,24,22,27,1
9,Eintracht Frankfurt,17,13,3,8,2,21,22,38,1
10,Freiburg,17,13,4,5,4,20,23,21,0
11,Augsburg,16,13,4,4,5,15,19,26,2
12,Hoffenheim,15,13,4,3,6,21,23,30,4
13,Werder Bremen,14,13,3,5,5,16,21,31,1
14,Hertha Berliner,13,13,3,4,6,20,24,22,1
15,Köln,11,13,2,5,6,13,21,27,1
16,Arminia Bielefeld,10,13,3,1,9,9,23,22,0
17,Mainz 05,6,13,1,3,9,12,26,27,1
18,Schalke 04,4,13,0,4,9,8,36,35,1
