position,club,points,P,W,D,L,F,A,YC,RD
1,Bayern München,50,34,21,8,5,79,38,39,0
2,Werder Bremen,46,34,18,10,6,87,51,27,1
3,Köln,40,34,18,4,12,69,66,43,1
4,Borussia Mönchengladbach,39,34,15,9,10,77,53,48,1
5,Hamburger,37,34,14,9,11,58,49,40,1
6,Mannheim,37,34,13,11,10,47,50,47,1
7,Uerdingen,36,34,14,8,12,57,52,50,0
8,Schalke 04,34,34,13,8,13,63,62,35,1
9,Bochum,34,34,12,10,12,52,54,27,0
10,Stuttgart,33,34,14,5,15,79,59,45,3
11,Kaiserslautern,33,34,11,11,12,56,60,41,0
12,Eintracht Frankfurt,32,34,10,12,12,62,67,30,1
13,Bayer Leverkusen,31,34,9,13,12,52,54,44,0
14,Borussia Dortmund,30,34,13,4,17,51,65,37,1
15,Fortuna Düsseldorf,29,34,10,9,15,53,66,36,0
16,Arminia Bielefeld,29,34,8,13,13,46,61,42,3
17,Karlsruher,22,34,5,12,17,47,88,49,2
18,Eintracht Braunschweig,20,34,9,2,23,39,79,46,3
