position,club,points,P,W,D,L,F,A,YC,RD
1,Bayern München,49,34,20,9,5,95,53,20,1
2,Borussia Mönchengladbach,48,34,21,6,7,93,52,15,0
3,Fortuna Düsseldorf,41,34,16,9,9,61,47,20,1
4,Eintracht Frankfurt,41,34,15,11,8,63,50,14,1
5,Köln,39,34,16,7,11,69,56,32,3
6,Kaiserslautern,38,34,15,8,11,80,69,29,1
7,Schalke 04,37,34,16,5,13,72,68,24,1
8,Hertha Berliner,33,34,11,11,12,56,60,25,0
9,Stuttgart,31,34,12,7,15,58,57,25,0
10,Kickers Offenbach,31,34,11,9,14,56,62,28,0
11,Werder Bremen,31,34,9,13,12,48,56,16,0
12,Hamburger,31,34,13,5,16,53,62,31,0
13,Rot-Weiss Essen,31,34,10,11,13,56,70,36,0
14,Bochum,30,34,9,12,13,45,57,33,0
15,Duisburg,29,34,11,7,16,42,56,36,0
16,Wuppertaler,25,34,8,9,17,42,65,32,1
17,Fortuna Köln,25,34,8,9,17,46,79,18,0
18,Hannover 96,22,34,6,10,18,50,66,34,0
