position,club,points,P,W,D,L,F,A,YC,RD
1,Borussia Mönchengladbach,44,34,17,10,7,58,34,28,0
2,Schalke 04,43,34,17,9,8,77,52,21,0
3,Eintracht Braunschweig,43,34,15,13,6,56,38,28,1
4,Eintracht Frankfurt,42,34,17,8,9,86,57,26,0
5,Köln,40,34,17,6,11,83,61,30,2
6,Hamburger,38,34,14,10,10,67,56,25,0
7,Bayern München,37,34,14,9,11,74,65,25,0
8,Duisburg,34,34,11,12,11,60,51,33,1
9,Borussia Dortmund,34,34,12,10,12,73,64,36,0
10,Hertha Berliner,34,34,13,8,13,55,54,29,2
11,Werder Bremen,33,34,13,7,14,51,59,20,1
12,Fortuna Düsseldorf,31,34,11,9,14,52,54,26,0
13,Kaiserslautern,29,34,12,5,17,53,59,40,0
14,Saarbrücken,29,34,9,11,14,43,55,27,0
15,Bochum,29,34,11,7,16,47,62,13,0
16,Karlsruher,28,34,9,10,15,53,75,25,1
17,Tennis Borussia Berlin,22,34,6,10,18,47,85,36,1
18,Rot-Weiss Essen,22,34,7,8,19,49,103,33,1
