position,club,points,P,W,D,L,F,A,YC,RD
1,Bayern München,63,34,19,6,9,62,37,90,3
2,Schalke 04,62,34,18,8,8,65,35,74,2
3,Borussia Dortmund,58,34,16,10,8,62,42,72,4
4,Bayer Leverkusen,57,34,17,6,11,54,40,90,8
5,Hertha Berliner,56,34,18,2,14,58,52,65,5
6,Freiburg,55,34,15,10,9,54,37,78,3
7,Werder Bremen,53,34,15,8,11,53,48,78,3
8,Kaiserslautern,50,34,15,5,14,49,54,90,5
9,Wolfsburg,47,34,12,11,11,60,45,71,1
10,Köln,46,34,12,10,12,59,52,70,7
11,1860 München,44,34,12,8,14,43,55,78,5
12,Hansa Rostock,43,34,12,7,15,34,47,79,10
13,Hamburger,41,34,10,11,13,58,58,87,6
14,Energie Cottbus,39,34,12,3,19,38,52,78,2
15,Stuttgart,38,34,9,11,14,42,49,64,3
16,Unterhaching,35,34,8,11,15,35,59,49,4
17,Eintracht Frankfurt,35,34,10,5,19,41,68,70,8
18,Bochum,27,34,7,6,21,30,67,76,10
