position,club,points,P,W,D,L,F,A,YC,RD
1,Borussia Dortmund,49,34,20,9,5,67,33,67,4
2,Werder Bremen,48,34,20,8,6,70,39,63,4
3,Freiburg,46,34,20,6,8,66,44,55,4
4,Kaiserslautern,46,34,17,12,5,58,41,63,2
5,Borussia Mönchengladbach,43,34,17,9,8,66,41,57,1
6,Bayern München,43,34,15,13,6,55,41,69,4
7,Bayer Leverkusen,36,34,13,10,11,62,51,52,9
8,Karlsruher,36,34,11,14,9,51,47,102,7
9,Eintracht Frankfurt,33,34,12,9,13,41,49,49,5
10,Köln,32,34,11,10,13,54,54,74,5
11,Schalke 04,31,34,10,11,13,48,54,55,5
12,Stuttgart,30,34,10,10,14,52,66,78,6
13,Hamburger,29,34,10,9,15,43,50,66,10
14,1860 München,27,34,8,11,15,41,57,84,12
15,Uerdingen,25,34,7,11,16,37,52,69,2
16,Bochum,22,34,9,4,21,43,67,94,4
17,Duisburg,20,34,6,8,20,31,64,57,7
18,Dynamo Dresden,16,34,4,8,22,33,68,79,7
