position,club,points,P,W,D,L,F,A,YC,RD
1,Bayern München,82,34,25,7,2,89,22,47,0
2,RB Leipzig,67,34,20,7,7,66,39,67,2
3,Borussia Dortmund,64,34,18,10,6,72,40,56,2
4,Hoffenheim,62,34,16,14,4,64,37,63,1
5,Köln,49,34,12,13,9,51,42,73,1
6,Hertha Berliner,49,34,15,4,15,43,47,65,3
7,Freiburg,48,34,14,6,14,42,60,56,1
8,Werder Bremen,45,34,13,6,15,61,64,67,2
9,Borussia Mönchengladbach,45,34,12,9,13,45,49,48,2
10,Schalke 04,43,34,11,10,13,45,40,69,3
11,Eintracht Frankfurt,42,34,11,9,14,36,43,85,6
12,Bayer Leverkusen,41,34,11,8,15,53,55,53,4
13,Augsburg,38,34,9,11,14,35,51,69,3
14,Hamburger,38,34,10,8,16,33,61,75,5
15,Mainz 05,37,34,10,7,17,44,55,70,7
16,Wolfsburg,37,34,10,7,17,34,52,67,3
17,Ingolstadt,32,34,8,8,18,36,57,72,6
18,Darmstadt,25,34,7,4,23,28,63,72,5
