position,club,points,P,W,D,L,F,A,YC,RD
1,Bayern München,55,34,24,7,3,101,38,0,0
2,Schalke 04,52,34,24,4,6,76,35,0,1
3,Borussia Mönchengladbach,43,34,18,7,9,82,40,0,1
4,Köln,43,34,15,13,6,64,44,0,0
5,Eintracht Frankfurt,39,34,16,7,11,71,61,0,2
6,Hertha Berliner,37,34,14,9,11,46,55,0,1
7,Kaiserslautern,35,34,14,7,13,59,53,0,0
8,Stuttgart,35,34,13,9,12,52,56,0,0
9,Bochum,34,34,14,6,14,59,69,0,0
10,Hamburger,33,34,13,7,14,52,52,0,0
11,Werder Bremen,31,34,11,9,14,63,58,0,0
12,Eintracht Braunschweig,31,34,8,15,11,43,48,0,0
13,Fortuna Düsseldorf,30,34,10,10,14,40,53,0,0
14,Duisburg,27,34,10,7,17,36,51,0,2
15,Oberhausen,25,34,7,11,16,33,66,0,0
16,Hannover 96,23,34,10,3,21,54,69,0,1
17,Borussia Dortmund,20,34,6,8,20,34,83,0,3
18,Arminia Bielefeld,0*,0,0,0,0,0,0,0,2
