position,club,points,P,W,D,L,F,A,YC,RD
1,Bayern München,84,34,27,3,4,92,28,42,0
2,Schalke 04,63,34,18,9,7,53,37,64,2
3,Hoffenheim,55,34,15,10,9,66,48,71,0
4,Borussia Dortmund,55,34,15,10,9,64,47,40,3
5,Bayer Leverkusen,55,34,15,10,9,58,44,56,4
6,RB Leipzig,53,34,15,8,11,57,53,45,6
7,Stuttgart,51,34,15,6,13,36,36,57,2
8,Eintracht Frankfurt,49,34,14,7,13,45,45,72,2
9,Borussia Mönchengladbach,47,34,13,8,13,47,52,47,0
10,Hertha Berliner,43,34,10,13,11,43,46,49,3
11,Werder Bremen,42,34,10,12,12,37,40,55,0
12,Augsburg,41,34,10,11,13,43,46,67,2
13,Hannover 96,39,34,10,9,15,44,54,63,0
14,Mainz 05,36,34,9,9,16,38,52,61,3
15,Freiburg,36,34,8,12,14,32,56,53,5
16,Wolfsburg,33,34,6,15,13,36,48,60,6
17,Hamburger,31,34,8,7,19,29,53,60,4
18,Köln,22,34,5,7,22,35,70,69,1
