position,club,points,P,W,D,L,F,A,YC,RD
1,Bayern München,71,34,20,11,3,68,34,59,2
2,Bayer Leverkusen,69,34,21,6,7,69,41,67,3
3,Borussia Dortmund,63,34,19,6,9,63,41,64,3
4,Stuttgart,61,34,18,7,9,78,40,86,8
5,Bochum,53,34,14,11,9,54,51,84,6
6,Karlsruher,49,34,13,10,11,55,44,74,4
7,1860 München,49,34,13,10,11,56,56,75,4
8,Werder Bremen,48,34,14,6,14,53,52,77,4
9,Duisburg,45,34,12,9,13,44,49,65,4
10,Köln,44,34,13,5,16,62,62,79,5
11,Borussia Mönchengladbach,43,34,12,7,15,46,48,56,4
12,Schalke 04,43,34,11,10,13,35,40,61,2
13,Hamburger,41,34,10,11,13,46,60,69,6
14,Arminia Bielefeld,40,34,11,7,16,46,54,66,5
15,Hansa Rostock,40,34,11,7,16,35,46,58,4
16,Fortuna Düsseldorf,33,34,9,6,19,26,57,69,4
17,Freiburg,29,34,8,5,21,43,67,75,6
18,St. Pauli,27,34,7,6,21,32,69,73,7
