position,club,points,P,W,D,L,F,A,YC,RD
1,Borussia Mönchengladbach,45,34,16,13,5,66,37,30,0
2,Hamburger,41,34,17,7,10,59,32,22,0
3,Bayern München,40,34,15,10,9,72,50,23,0
4,Köln,39,34,14,11,9,62,45,35,0
5,Eintracht Braunschweig,39,34,14,11,9,52,48,30,1
6,Schalke 04,37,34,13,11,10,76,55,31,0
7,Kaiserslautern,37,34,15,7,12,66,60,37,1
8,Rot-Weiss Essen,37,34,13,11,10,61,67,20,1
9,Eintracht Frankfurt,36,34,13,10,11,79,58,23,0
10,Duisburg,33,34,13,7,14,55,62,43,0
11,Hertha Berliner,32,34,11,10,13,59,61,20,0
12,Fortuna Düsseldorf,30,34,10,10,14,47,57,22,1
13,Werder Bremen,30,34,11,8,15,44,55,25,0
14,Bochum,30,34,12,6,16,49,62,29,0
15,Karlsruher,30,34,12,6,16,46,59,18,1
16,Hannover 96,27,34,9,9,16,48,60,25,1
17,Kickers Offenbach,27,34,9,9,16,40,72,38,1
18,Uerdingen,22,34,6,10,18,28,69,35,0
