position,club,points,P,W,D,L,F,A,YC,RD
1,Bayern München,88,34,28,4,2,80,17,47,1
2,Borussia Dortmund,78,34,24,6,4,82,34,39,0
3,Bayer Leverkusen,60,34,18,6,10,56,40,67,4
4,Borussia Mönchengladbach,55,34,17,4,13,67,50,48,2
5,Schalke 04,52,34,15,7,12,51,49,64,1
6,Mainz 05,50,34,14,8,12,46,42,53,1
7,Hertha Berliner,50,34,14,8,12,42,42,66,2
8,Wolfsburg,45,34,12,9,13,47,49,57,3
9,Köln,43,34,10,13,11,38,42,53,2
10,Hamburger,41,34,11,8,15,40,46,74,3
11,Ingolstadt,40,34,10,10,14,33,42,81,2
12,Augsburg,38,34,9,11,14,42,52,81,1
13,Werder Bremen,38,34,10,8,16,50,65,77,2
14,Darmstadt,38,34,9,11,14,38,53,86,1
15,Hoffenheim,37,34,9,10,15,39,54,60,3
16,Eintracht Frankfurt,36,34,9,9,16,34,52,96,3
17,Stuttgart,33,34,9,6,19,50,75,67,4
18,Hannover 96,25,34,7,4,23,31,62,66,0
