position,club,points,P,W,D,L,F,A,YC,RD
1,Hamburger,49,34,21,7,6,78,32,32,0
2,Stuttgart,48,34,20,8,6,73,34,47,1
3,Kaiserslautern,43,34,16,11,7,62,47,39,2
4,Bayern München,40,34,16,8,10,69,46,30,0
5,Eintracht Frankfurt,39,34,16,7,11,50,49,46,1
6,Köln,38,34,13,12,9,55,47,28,3
7,Fortuna Düsseldorf,37,34,13,11,10,70,59,28,1
8,Bochum,33,34,10,13,11,47,46,28,0
9,Eintracht Braunschweig,33,34,10,13,11,50,55,39,1
10,Borussia Mönchengladbach,32,34,12,8,14,50,53,46,1
11,Werder Bremen,31,34,10,11,13,48,60,39,0
12,Borussia Dortmund,31,34,10,11,13,54,70,34,0
13,Duisburg,30,34,12,6,16,43,56,36,0
14,Hertha Berliner,29,34,9,11,14,40,50,24,0
15,Schalke 04,28,34,9,10,15,55,61,26,0
16,Arminia Bielefeld,26,34,9,8,17,43,56,45,2
17,Nürnberg,24,34,8,8,18,36,67,36,0
18,Darmstadt,21,34,7,7,20,40,75,39,0
