position,club,points,P,W,D,L,F,A,YC,RD
1,Borussia Dortmund,81,34,25,6,3,80,25,34,2
2,Bayern München,73,34,23,4,7,77,22,43,3
3,Schalke 04,64,34,20,4,10,74,44,64,2
4,Borussia Mönchengladbach,60,34,17,9,8,49,24,50,1
5,Bayer Leverkusen,54,34,15,9,10,52,44,47,4
6,Stuttgart,53,34,15,8,11,63,46,64,4
7,Hannover 96,48,34,12,12,10,41,45,65,3
8,Wolfsburg,44,34,13,5,16,47,60,65,4
9,Werder Bremen,42,34,11,9,14,49,58,66,5
10,Nürnberg,42,34,12,6,16,38,49,73,2
11,Hoffenheim,41,34,10,11,13,41,47,71,3
12,Freiburg,40,34,10,10,14,45,61,56,1
13,Mainz 05,39,34,9,12,13,47,51,50,2
14,Augsburg,38,34,8,14,12,36,49,66,2
15,Hamburger,36,34,8,12,14,35,57,64,2
16,Hertha Berliner,31,34,7,10,17,38,64,69,8
17,Köln,30,34,8,6,20,39,75,68,6
18,Kaiserslautern,23,34,4,11,19,24,54,70,4
