position,club,points,P,W,D,L,F,A,YC,RD
1,Borussia Mönchengladbach,51,34,23,5,6,71,29,0,0
2,Bayern München,47,34,21,5,8,88,37,0,2
3,Hertha Berliner,45,34,20,5,9,67,41,0,0
4,Köln,43,34,20,3,11,83,38,0,0
5,Borussia Dortmund,36,34,14,8,12,60,67,0,0
6,Hamburger,35,34,12,11,11,57,54,0,0
7,Stuttgart,35,34,14,7,13,59,62,0,0
8,Eintracht Frankfurt,34,34,12,10,12,54,54,0,0
9,Schalke 04,34,34,11,12,11,43,54,0,0
10,Kaiserslautern,32,34,10,12,12,44,55,0,1
11,Werder Bremen,31,34,10,11,13,38,47,0,1
12,Rot-Weiss Essen,31,34,8,15,11,41,54,0,0
13,Hannover 96,30,34,11,8,15,49,61,0,1
14,Oberhausen,29,34,11,7,16,50,62,0,2
15,Duisburg,29,34,9,11,14,35,48,0,0
16,Eintracht Braunschweig,28,34,9,10,15,40,49,0,0
17,1860 München,25,34,9,7,18,41,56,0,0
18,Alemannia Aachen,17,34,5,7,22,31,83,0,0
