position,club,points,P,W,D,L,F,A,YC,RD
1,Bayern München,91,34,29,4,1,98,18,36,1
2,Borussia Dortmund,66,34,19,9,6,81,42,42,4
3,Bayer Leverkusen,65,34,19,8,7,65,39,61,2
4,Schalke 04,55,34,16,7,11,58,50,56,3
5,Freiburg,51,34,14,9,11,45,40,57,3
6,Eintracht Frankfurt,51,34,14,9,11,49,46,63,3
7,Hamburger,48,34,14,6,14,42,53,68,4
8,Borussia Mönchengladbach,47,34,12,11,11,45,49,57,1
9,Hannover 96,45,34,13,6,15,60,62,78,4
10,Nürnberg,44,34,11,11,12,39,47,69,2
11,Wolfsburg,43,34,10,13,11,47,52,60,4
12,Stuttgart,43,34,12,7,15,37,55,74,7
13,Mainz 05,42,34,10,12,12,42,44,71,4
14,Werder Bremen,34,34,8,10,16,50,66,59,6
15,Augsburg,33,34,8,9,17,33,51,68,2
16,Hoffenheim,31,34,8,7,19,42,67,75,5
17,Fortuna Düsseldorf,30,34,7,9,18,39,57,78,3
18,Greuther Fürth,21,34,4,9,21,26,60,78,6
