position,club,points,P,W,D,L,F,A,YC,RD
1,Werder Bremen,48,34,19,10,5,63,30,48,1
2,Bayern München,47,34,18,11,5,74,45,61,3
3,Eintracht Frankfurt,42,34,15,12,7,56,39,49,4
4,Borussia Dortmund,41,34,18,5,11,61,43,80,3
5,Bayer Leverkusen,40,34,14,12,8,64,45,70,5
6,Karlsruher,39,34,14,11,9,60,54,78,5
7,Stuttgart,36,34,12,12,10,56,50,67,4
8,Kaiserslautern,35,34,13,9,12,50,40,62,2
9,Borussia Mönchengladbach,35,34,13,9,12,59,59,55,7
10,Schalke 04,34,34,11,12,11,42,43,71,2
11,Hamburger,31,34,8,15,11,42,44,46,1
12,Köln,28,34,12,4,18,41,51,58,4
13,Nürnberg,28,34,10,8,16,30,47,83,6
14,Wattenscheid,28,34,10,8,16,46,67,55,4
15,Dynamo Dresden,27,34,7,13,14,32,49,70,8
16,Bochum,26,34,8,10,16,45,52,97,3
17,Uerdingen,24,34,7,10,17,35,64,85,6
18,Saarbrücken,23,34,5,13,16,37,71,88,4
