position,club,points,P,W,D,L,F,A,YC,RD
1,Bayern München,90,34,29,3,2,94,23,45,2
2,Borussia Dortmund,71,34,22,5,7,80,38,44,2
3,Schalke 04,64,34,19,7,8,63,43,56,5
4,Bayer Leverkusen,61,34,19,4,11,60,41,69,2
5,Wolfsburg,60,34,18,6,10,63,50,59,8
6,Borussia Mönchengladbach,55,34,16,7,11,59,43,53,3
7,Mainz 05,53,34,16,5,13,52,54,53,4
8,Augsburg,52,34,15,7,12,47,47,61,1
9,Hoffenheim,44,34,11,11,12,72,70,63,2
10,Hannover 96,42,34,12,6,16,46,59,73,6
11,Hertha Berliner,41,34,11,8,15,40,48,57,1
12,Werder Bremen,39,34,10,9,15,42,66,75,3
13,Eintracht Frankfurt,36,34,9,9,16,40,57,77,2
14,Freiburg,36,34,9,9,16,43,61,64,4
15,Stuttgart,32,34,8,8,18,49,62,61,5
16,Hamburger,27,34,7,6,21,51,75,56,2
17,Nürnberg,26,34,5,11,18,37,70,74,4
18,Eintracht Braunschweig,25,34,6,7,21,29,60,64,2
