position,club,points,P,W,D,L,F,A,YC,RD
1,Wolfsburg,69,34,21,6,7,80,41,57,2
2,Bayern München,67,34,20,7,7,71,42,65,3
3,Stuttgart,64,34,19,7,8,63,43,69,0
4,Hertha Berliner,63,34,19,6,9,48,41,62,1
5,Hamburger,61,34,19,4,11,49,47,77,3
6,Borussia Dortmund,59,34,15,14,5,60,37,49,5
7,Hoffenheim,55,34,15,10,9,63,49,74,6
8,Schalke 04,50,34,14,8,12,47,35,64,6
9,Bayer Leverkusen,49,34,14,7,13,59,46,61,5
10,Werder Bremen,45,34,12,9,13,64,50,55,4
11,Hannover 96,40,34,10,10,14,49,69,59,4
12,Köln,39,34,11,6,17,35,50,71,4
13,Eintracht Frankfurt,33,34,8,9,17,39,60,77,3
14,Bochum,32,34,7,11,16,39,55,78,7
15,Borussia Mönchengladbach,31,34,8,7,19,39,62,71,0
16,Energie Cottbus,30,34,8,6,20,30,57,72,3
17,Karlsruher,29,34,8,5,21,30,54,66,2
18,Arminia Bielefeld,28,34,4,16,14,29,56,67,4
