position,club,points,P,W,D,L,F,A,YC,RD
1,Bayern München,49,34,19,11,4,64,28,44,0
2,Köln,43,34,17,9,8,54,44,66,2
3,Eintracht Frankfurt,41,34,15,11,8,61,40,38,0
4,Borussia Dortmund,41,34,15,11,8,51,35,41,1
5,Bayer Leverkusen,39,34,12,15,7,40,32,58,1
6,Stuttgart,36,34,15,6,13,53,47,45,1
7,Werder Bremen,34,34,10,14,10,49,41,42,3
8,Nürnberg,33,34,11,11,12,42,46,52,2
9,Fortuna Düsseldorf,32,34,10,12,12,41,41,53,3
10,Karlsruher,32,34,10,12,12,32,39,65,1
11,Hamburger,31,34,13,5,16,39,46,55,1
12,Kaiserslautern,31,34,10,11,13,42,55,55,3
13,St. Pauli,31,34,9,13,12,31,46,55,1
14,Uerdingen,30,34,10,10,14,41,48,57,0
15,Borussia Mönchengladbach,30,34,11,8,15,37,45,64,2
16,Bochum,29,34,11,7,16,44,53,47,4
17,Mannheim,26,34,10,6,18,36,53,55,2
18,Homburg,24,34,8,8,18,33,51,51,4
